post_created,post_text,user_id,mh_category,mh_confidence,mh_matched_keywords,subject_category,subject_confidence,subject_details,sentiment,date,year,month,day,hour,weekday,cleaned_text,tokens,processed_text,sentiment_category,sentiment_label,sentiment_score
2021-06-30 12:20:24+00:00,"Pemprov #Jateng Siap Laksanakan #PPKM Darurat Sesuai Intruksi Pusat #kliKRMOL @provjateng 
https://t.co/RqkAvtPCob",rmoljateng,suicide,medium,,REMAJA,MEDIUM,"Indicators: pr,pc",1,2021-06-30,2021,6,30,12,2,pemprov jateng siap laksanakan ppkm darurat sesuai intruksi pusat klikrmol,"['pemprov', 'jateng', 'siap', 'laksanakan', 'ppkm', 'darurat', 'sesuai', 'intruksi', 'pusat', 'klikrmol']",pemprov jateng siap laksanakan ppkm darurat sesuai intruksi pusat klikrmol,Positif,positive,1.0
2021-08-24 03:58:49+00:00,"2 month for semi-lockdown , my soul feel older than my age 🙄🙄 #PPKM #likeahell #LongCovid",AryoSaid34,therapy,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",1,2021-08-24,2021,8,24,3,1,month for semilockdown my soul feel older than my age ppkm likeahell longcovid,"['month', 'semilockdown', 'soul', 'feel', 'older', 'age', 'ppkm', 'likeahell', 'longcovid']",month semilockdown soul feel older age ppkm likeahell longcovid,Positif,positive,1.0
2021-08-30 12:22:01+00:00,"Kulo manut mawon mpun🙏
Masio sampek akhir taun nggeh monggo🙏

#PPKM Diperpanjang https://t.co/rOBIB04Yp7",_____kekasihku,therapy,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",2,2021-08-30,2021,8,30,12,0,kulo manut mawon mpun masio sampek akhir taun nggeh monggo ppkm diperpanjang,"['kulo', 'manut', 'mawon', 'mpun', 'masio', 'sampek', 'akhir', 'taun', 'nggeh', 'monggo', 'ppkm', 'diperpanjang']",kulo manut mawon mpun masio sampek akhir taun nggeh monggo ppkm diperpanjang,Negatif,negative,1.0
2021-07-25 06:34:33+00:00,#ppkm internet down @MyRepublicID sekarang ga ada menu untuk ngomong sama cs! Pintar sekali cara main anda,classicryder,depression,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",2,2021-07-25,2021,7,25,6,6,ppkm internet down sekarang ga ada menu untuk ngomong sama cs pintar sekali cara main anda,"['ppkm', 'internet', 'sekarang', 'ada', 'menu', 'untuk', 'ngomong', 'sama', 'pintar', 'sekali', 'cara', 'main', 'anda']",ppkm internet sekarang ada menu untuk ngomong sama pintar sekali cara main anda,Negatif,negative,1.0
2021-07-15 15:55:21+00:00,"Info lokernya dongg mas mba aa teteh
#phkcovid
#phkppkm
#PPKM 
#efekppkm",AyuKjh,depression,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",1,2021-07-15,2021,7,15,15,3,info lokernya dongg mas mba aa teteh phkcovid phkppkm ppkm efekppkm,"['info', 'lokernya', 'dongg', 'mas', 'mba', 'teteh', 'phkcovid', 'phkppkm', 'ppkm', 'efekppkm']",info lokernya dongg mas mba teteh phkcovid phkppkm ppkm efekppkm,Positif,positive,1.0
2021-07-28 07:09:17+00:00,"PPKM
Pelan Pelan Kamu Menatapku

#PPKM",chacharyu2,schizophrenia,medium,,INDIVIDU_UMUM,LOW,"T:0, A:0",1,2021-07-28,2021,7,28,7,2,ppkm pelan pelan kamu menatapku ppkm,"['ppkm', 'pelan', 'pelan', 'kamu', 'menatapku', 'ppkm']",ppkm pelan pelan kamu menatapku ppkm,Positif,positive,1.0
2021-08-01 12:38:45+00:00,"Kapolres Bangka Barat borong dagangan warga Patroli PPKM level 4

#Dagangawarga
#Ppkmlevel4
#Ppkm
#kamipercayajokowi
#berbagitiapharipolresbabar
#vaksinpresisi
#baktikesehatan
#Bhayangkarauntuknegeri
#DumasPresisi
#SinergitasTNIPolri
# Presisi
# Bravopolri
# Lawan Covid-19 https://t.co/HpfxRlxz6a",polsek_muntok,suicide,medium,,INDIVIDU_CAMPURAN,LOW,"T:1, A:1",1,2021-08-01,2021,8,1,12,6,kapolres bangka barat borong dagangan warga patroli ppkm level dagangawarga ppkmlevel ppkm kamipercayajokowi berbagitiapharipolresbabar vaksinpresisi baktikesehatan bhayangkarauntuknegeri dumaspresisi sinergitastnipolri presisi bravopolri lawan covid,"['kapolres', 'bangka', 'barat', 'borong', 'dagangan', 'warga', 'patroli', 'ppkm', 'level', 'dagangawarga', 'ppkmlevel', 'ppkm', 'kamipercayajokowi', 'berbagitiapharipolresbabar', 'vaksinpresisi', 'baktikesehatan', 'bhayangkarauntuknegeri', 'dumaspresisi', 'sinergitastnipolri', 'presisi', 'bravopolri', 'lawan', 'covid']",kapolres bangka barat borong dagangan warga patroli ppkm level dagangawarga ppkmlevel ppkm kamipercayajokowi berbagitiapharipolresbabar vaksinpresisi baktikesehatan bhayangkarauntuknegeri dumaspresisi sinergitastnipolri presisi bravopolri lawan covid,Positif,positive,1.0
2021-09-11 10:25:50+00:00,"PUSAT SEWA MOBIL (DRIVER+BBM) 💯% TERMURAH SE-JAKARTA✌😁
#sewamobiljakarta #liburankeluarga  
#rentalmobiljakarta #wisatajakarta #wisatabandung #sewahiacejakarta #sewahiacejakartaselatan #sewaalphardjakarta #keluarga #Jakarta #balitour #bandungtravel
#travel #sewamobil #PPKM https://t.co/B7Fi2Gh4ne",FebrianRentalm1,therapy,medium,,DEWASA,MEDIUM,Indicators: keluarga,1,2021-09-11,2021,9,11,10,5,pusat sewa mobil driverbbm termurah sejakarta sewamobiljakarta liburankeluarga rentalmobiljakarta wisatajakarta wisatabandung sewahiacejakarta sewahiacejakartaselatan sewaalphardjakarta keluarga jakarta balitour bandungtravel travel sewamobil ppkm,"['pusat', 'sewa', 'mobil', 'driverbbm', 'termurah', 'sejakarta', 'sewamobiljakarta', 'liburankeluarga', 'rentalmobiljakarta', 'wisatajakarta', 'wisatabandung', 'sewahiacejakarta', 'sewahiacejakartaselatan', 'sewaalphardjakarta', 'keluarga', 'jakarta', 'balitour', 'bandungtravel', 'travel', 'sewamobil', 'ppkm']",pusat sewa mobil driverbbm termurah sejakarta sewamobiljakarta liburankeluarga rentalmobiljakarta wisatajakarta wisatabandung sewahiacejakarta sewahiacejakartaselatan sewaalphardjakarta keluarga jakarta balitour bandungtravel travel sewamobil ppkm,Positif,positive,1.0
2021-06-29 15:06:59+00:00,"Penanganan Pandemi COVID-19 Indonesia perlu wawasan Ekologi &amp; Lingkungan-Psikososial-Imunologi.
Bukan Pembatasan ala #PPKM termasuk versi darurat yg diperlukan tapi Relaksasi demi Penguatan Imunitas
@jokowi @BNPB_Indonesia @BudiGSadikin @KemenkesRI @KemensetnegRI @aniesbaswedan https://t.co/Cp0mnxQAfG",arnold5508,depression,medium,sad,DEWASA,MEDIUM,Indicators: atasan,1,2021-06-29,2021,6,29,15,1,penanganan pandemi covid indonesia perlu wawasan ekologi amp lingkunganpsikososialimunologi bukan pembatasan ala ppkm termasuk versi darurat yg diperlukan tapi relaksasi demi penguatan imunitas,"['penanganan', 'pandemi', 'covid', 'indonesia', 'perlu', 'wawasan', 'ekologi', 'amp', 'lingkunganpsikososialimunologi', 'bukan', 'pembatasan', 'ala', 'ppkm', 'termasuk', 'versi', 'darurat', 'diperlukan', 'tapi', 'relaksasi', 'demi', 'penguatan', 'imunitas']",penanganan pandemi covid indonesia perlu wawasan ekologi amp lingkunganpsikososialimunologi bukan pembatasan ala ppkm termasuk versi darurat diperlukan tapi relaksasi demi penguatan imunitas,Positif,positive,1.0
2021-09-17 03:36:55+00:00,"Ready Pijat 
081286319945 WA
#Jakarta #bekasi #kranji #harapanindah #wismaasri #ujungharapan #perumnas #greenpramuka #gadingicon #senen #tambun #DPRD #PPKM #Gomassage #Gomassagebekasi #includeroom #kemangpratama #pekayon #kranji #Jogja #pijatjakarta #metlend #kranji #bintara",CityPijat,suicide,medium,,REMAJA,MEDIUM,Indicators: pr,1,2021-09-17,2021,9,17,3,4,ready pijat wa jakarta bekasi kranji harapanindah wismaasri ujungharapan perumnas greenpramuka gadingicon senen tambun dprd ppkm gomassage gomassagebekasi includeroom kemangpratama pekayon kranji jogja pijatjakarta metlend kranji bintara,"['ready', 'pijat', 'jakarta', 'bekasi', 'kranji', 'harapanindah', 'wismaasri', 'ujungharapan', 'perumnas', 'greenpramuka', 'gadingicon', 'senen', 'tambun', 'dprd', 'ppkm', 'gomassage', 'gomassagebekasi', 'includeroom', 'kemangpratama', 'pekayon', 'kranji', 'jogja', 'pijatjakarta', 'metlend', 'kranji', 'bintara']",ready pijat jakarta bekasi kranji harapanindah wismaasri ujungharapan perumnas greenpramuka gadingicon senen tambun dprd ppkm gomassage gomassagebekasi includeroom kemangpratama pekayon kranji jogja pijatjakarta metlend kranji bintara,Positif,positive,1.0
